TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
7970,Ligustrum lucidum :: Glossy Privet,1930 Franklin St,Sidewalk: Curb side : Cutout,14,3X3,37.79242576,-122.4243443
59884,Pittosporum undulatum :: Victorian Box,1550X Washington St,Sidewalk: Curb side : Cutout,24,3x3,37.79242741,-122.4283564
15094,Platanus x hispanica :: Sycamore: London Plane,91X Mission St,Sidewalk: Curb side : Cutout,12,4x4,37.79259078,-122.3938691
23698,Metrosideros excelsa :: New Zealand Xmas Tree,2100X Gough St,Sidewalk: Curb side : Cutout,30,3X3,37.79267111,-122.426077
98602,Pittosporum undulatum :: Victorian Box,2340 Jackson St,Sidewalk: Curb side : Cutout,9,3x3,37.79273154,-122.433083
13499,Platanus x hispanica :: Sycamore: London Plane,245 Market St,Sidewalk: Curb side : Cutout,35,4X4,37.79276489,-122.3967198
17192,Magnolia grandiflora :: Southern Magnolia,2235X Octavia St,Median : Cutout,12,20,37.79279498,-122.4278937
23701,Pyrus kawakamii :: Evergreen Pear,2119X Gough St,Sidewalk: Curb side : Cutout,30,3X3,37.7928022,-122.4262786
13491,Platanus x hispanica :: Sycamore: London Plane,215 Market St,Sidewalk: Curb side : Cutout,12,4X4,37.79305322,-122.3964277
13473,Platanus x hispanica :: Sycamore: London Plane,200X Market St,Sidewalk: Curb side : Cutout,50,4x4,37.79325856,-122.3965125
102575,Platanus x hispanica :: Sycamore: London Plane,2X Drumm St,Median : Cutout,,,37.7932778,-122.3962363
29678,Lophostemon confertus :: Brisbane Box,1900X Van Ness Ave,Median : Cutout,3,,37.79331295,-122.4229079
7980,Pittosporum crassifolium :: Karo Tree,2040 Franklin St,Sidewalk: Curb side : Cutout,12,3X3,37.79341019,-122.4245578
23424,Platanus x hispanica :: Sycamore: London Plane,1999 Van Ness Ave,Sidewalk: Curb side : Cutout,10,3X3,37.79361838,-122.4231569
23429,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1940 Van Ness Ave,Sidewalk: Curb side : Cutout,30,3X3,37.79362668,-122.4228054
13462,Platanus x hispanica :: Sycamore: London Plane,101 Market St,Sidewalk: Curb side : Cutout,18,4X4,37.79368952,-122.3955433
23431,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1946 Van Ness Ave,Sidewalk: Curb side : Cutout,18,3X3,37.79374024,-122.422837
11019,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1401 Hyde St,Sidewalk: Curb side : Cutout,21,3x3,37.7937484,-122.4180373
11018,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1400 Hyde St,Sidewalk: Curb side : Cutout,20,3X3,37.79381032,-122.4178766
11021,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1407 Hyde St,Sidewalk: Curb side : Cutout,70,3x3,37.79382911,-122.4180442
27316,Platanus x hispanica :: Sycamore: London Plane,1 Market St,Sidewalk: Curb side : Cutout,35,4x4,37.79383653,-122.3954116
11435,Ligustrum lucidum :: Glossy Privet,2100X Franklin St,Sidewalk: Curb side : Cutout,3,3X3,37.79385938,-122.4246415
9928,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2209 Gough St,Sidewalk: Curb side : Cutout,30,3x3,37.79386576,-122.4264928
7985,Ligustrum lucidum :: Glossy Privet,2111 Franklin St,Sidewalk: Curb side : Cutout,12,3X3,37.7939007,-122.4248675
29780,Quercus suber :: Cork Oak,2000X Van Ness Ave,Median : Cutout,4,5x5,37.79392293,-122.4229563
29785,Quercus suber :: Cork Oak,2000x Van Ness Ave,Median : Cutout,4,5x5,37.79392293,-122.4229563
194320,Phoenix canariensis :: Canary Island Date Palm,400x The Embarcadero,Median : Yard,23,Width 7ft,37.79393525,-122.392633
11022,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1414 Hyde St,Sidewalk: Curb side : Cutout,23,3X3,37.79397139,-122.4179072
17360,Ficus nitida :: Laurel Fig,2298X Gough St,Sidewalk: Curb side : Cutout,16,3X3,37.79397655,-122.4263409
98804,Ginkgo biloba :: Maidenhair Tree,950x Clay St,Sidewalk: Curb side : Cutout,2,3x3,37.7940493,-122.4083325
17369,Pittosporum crassifolium :: Karo Tree,2225X Gough St,Sidewalk: Curb side : Cutout,26,3X3,37.79408407,-122.4265888
11026,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1435 Hyde St,Sidewalk: Curb side : Cutout,23,3x3,37.79413446,-122.4180994
7989,Pyrus kawakamii :: Evergreen Pear,2148 Franklin St,Sidewalk: Curb side : Cutout,3,3x3,37.79416921,-122.4246959
11025,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1432 Hyde St,Sidewalk: Curb side : Cutout,70,3X3,37.79417759,-122.4179502
7987,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2123 Franklin St,Sidewalk: Curb side : Cutout,12,3X3,37.79419115,-122.4248853
250133,Cordyline australis :: Dracena Palm,2550x Lyon St,Median : Yard,16,,37.79429521,-122.4466062
11028,Ficus nitida :: Laurel Fig,1449 Hyde St,Sidewalk: Curb side : Cutout,20,3x3,37.79430438,-122.4181099
23438,Platanus x hispanica :: Sycamore: London Plane,2045 Van Ness Ave,Sidewalk: Curb side : Cutout,10,3X3,37.79430703,-122.4233168
11029,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1450 Hyde St,Sidewalk: Curb side : Cutout,70,3x3,37.79432658,-122.4179854
